Item Number,Inventory Receive,Total Item Qty
064-09-3958,7/10/2023,524
064-09-0041,7/10/2023,912
064-09-0042,7/10/2023,700
064-09-4261,7/10/2023,700
064-09-0043,7/10/2023,792
064-09-4332,7/10/2023,544
064-09-4450,7/10/2023,700
064-09-4642,7/10/2023,612
064-09-4784,7/10/2023,592
064-09-5086,7/10/2023,544
064-09-5125,7/10/2023,1100
064-09-5282,7/10/2023,760
064-09-5287,7/10/2023,1200
064-09-5457,7/10/2023,524
064-09-5503,7/10/2023,384
064-09-5559,7/10/2023,700
064-09-0059,7/10/2023,928
064-09-0006,7/10/2023,832
064-09-6094,7/10/2023,1100
064-09-0631,7/10/2023,700
064-09-6380,7/10/2023,664
064-09-6933,7/10/2023,384
064-09-7633,7/10/2023,932
064-09-7924,7/10/2023,1200
064-09-8136,7/10/2023,1000
064-09-8249,7/10/2023,892
064-09-8353,7/10/2023,612
064-09-8707,7/10/2023,664
064-09-9076,7/10/2023,1300
064-09-9115,7/10/2023,1400
064-09-9129,7/10/2023,868
064-09-9139,7/10/2023,716
064-09-9411,7/10/2023,472
064-09-0942,7/10/2023,700
064-18-0127,8/4/2023,23580
064-18-3155,8/4/2023,19980
064-18-1490,9/8/2023,1848
064-11-1026,8/16/2023,4000
064-11-2793,8/16/2023,3200
064-11-2824,8/16/2023,6200
064-11-0005,8/16/2023,4500
064-11-0594,8/16/2023,4000
064-11-0082,8/16/2023,7500
064-11-0996,8/16/2023,6000
064-18-1490,8/25/2023,1848
064-13-0010,8/16/2023,4000
064-13-0327,8/16/2023,5000
064-13-0416,8/16/2023,6000
064-13-0433,8/16/2023,8000
064-13-0007,8/16/2023,2000
064-15-5738,7/7/2023,1200
064-15-6305,7/7/2023,2300
064-15-7068,7/7/2023,2172
064-15-7174,7/7/2023,1764
064-13-0402,9/8/2023,300
064-01-0012,10/13/2023,3244
064-01-0013,10/13/2023,1748
064-01-1326,10/13/2023,760
064-01-0016,10/13/2023,1608
064-01-0017,10/13/2023,916
064-01-0018,10/13/2023,2164
064-01-0019,10/13/2023,4056
064-01-2156,10/13/2023,1680
064-01-2694,10/13/2023,1060
064-01-0003,10/13/2023,1864
064-01-3170,10/13/2023,3676
064-01-3372,10/13/2023,1896
064-01-3476,10/13/2023,2704
064-01-0035,10/13/2023,1864
064-01-3690,10/13/2023,1252
064-01-4033,10/13/2023,852
064-01-4219,10/13/2023,1800
064-01-0005,10/13/2023,2520
064-01-5407,10/13/2023,1528
064-01-5543,10/13/2023,1864
064-01-6765,10/13/2023,4056
064-01-6878,10/13/2023,1624
064-01-0700,10/13/2023,2292
064-01-7347,10/13/2023,2508
064-01-7573,10/13/2023,1976
064-01-7675,10/13/2023,1000
064-01-8373,10/13/2023,2428
064-01-9024,10/13/2023,2960
064-01-0092,10/13/2023,872
064-01-9479,10/13/2023,780
064-01-9521,10/13/2023,1224
064-01-1346,7/10/2023,2000
064-01-1347,7/10/2023,2000
064-01-1348,7/10/2023,1644
064-01-1349,7/10/2023,1904
064-01-1351,7/10/2023,648
064-01-1360,7/10/2023,2300
064-01-1361,7/10/2023,2000
064-01-1362,7/10/2023,2544
064-01-1363,7/10/2023,3308
064-01-1365,7/10/2023,1000
064-01-1384,7/10/2023,2000
064-01-1385,7/10/2023,2000
064-01-1388,7/10/2023,1300
064-01-1389,7/10/2023,644
064-01-1398,7/10/2023,2704
064-01-1399,7/10/2023,2400
064-01-1400,7/10/2023,564
064-01-1401,7/10/2023,2400
064-01-1403,7/10/2023,1000
064-01-1408,7/10/2023,2824
064-01-1409,7/10/2023,3096
064-01-1410,7/10/2023,2000
064-01-1443,7/10/2023,2000
064-01-1444,7/10/2023,2000
064-01-1445,7/10/2023,1200
064-01-1448,7/10/2023,1000
064-09-1062,7/9/2023,1108
064-09-2179,7/9/2023,920
064-09-0250,7/9/2023,1048
064-09-3154,7/9/2023,360
064-09-3413,7/9/2023,944
064-09-3490,7/9/2023,576
064-09-3600,7/9/2023,788
064-09-3654,7/9/2023,1768
064-09-3787,7/9/2023,3136
064-09-3958,7/9/2023,788
064-09-0041,7/9/2023,1368
064-09-0042,7/9/2023,1048
064-09-4261,7/9/2023,1452
064-09-0043,7/9/2023,1188
064-09-4332,7/9/2023,816
064-09-4450,7/9/2023,1368
064-09-4642,7/9/2023,920
064-09-4784,7/9/2023,888
064-09-5086,7/9/2023,816
064-09-5125,7/9/2023,1652
064-09-5282,7/9/2023,1140
064-09-5287,7/9/2023,2080
064-09-5457,7/9/2023,788
064-09-5503,7/9/2023,576
064-09-5559,7/9/2023,1048
064-09-0059,7/9/2023,1392
064-09-0006,7/9/2023,1248
064-09-6094,7/9/2023,1652
064-09-0631,7/9/2023,1388
064-09-6380,7/9/2023,996
064-09-6933,7/9/2023,576
064-09-7633,7/9/2023,1396
064-09-7924,7/9/2023,2452
064-09-8136,7/9/2023,1656
064-09-8249,7/9/2023,1340
064-09-8353,7/9/2023,920
064-09-8707,7/9/2023,996
064-09-9076,7/9/2023,2564
064-09-9115,7/9/2023,2880
064-09-9129,7/9/2023,1304
064-09-9139,7/9/2023,1076
064-09-9411,7/9/2023,708
064-09-0942,7/9/2023,1048
064-13-0345,8/4/2023,292
064-13-0358,8/4/2023,1204
064-13-0359,8/4/2023,776
064-13-0438,8/4/2023,1000
064-13-0439,8/4/2023,352
064-13-0563,8/4/2023,152
064-18-3017,8/16/2023,6300
064-18-4153,8/16/2023,6732
064-15-5777,9/29/2023,4500
064-15-6305,9/29/2023,4500
064-15-7068,9/29/2023,4000
064-15-7174,9/29/2023,2500
064-09-2641,8/16/2023,2616
064-09-0054,8/16/2023,2000
064-09-6826,8/16/2023,3388
064-09-0733,8/16/2023,1848
064-18-3436,8/16/2023,2100
064-18-2305,9/29/2023,2430
064-18-2320,9/29/2023,786
064-18-2358,9/29/2023,2238
064-18-0267,9/29/2023,1920
064-18-2852,9/29/2023,1464
064-18-2853,9/29/2023,150
064-18-2854,9/29/2023,2250
064-18-3017,9/29/2023,2382
064-18-3316,9/29/2023,1380
064-18-3665,9/29/2023,2310
064-18-3712,9/29/2023,3000
064-18-3723,9/29/2023,498
064-18-3729,9/29/2023,1200
064-18-4153,9/29/2023,3402
064-18-0493,9/29/2023,1268
064-18-0494,9/29/2023,3344
064-18-5658,9/29/2023,248
064-18-5659,9/29/2023,2016
064-18-5660,9/29/2023,2588
064-18-6538,9/29/2023,1920
064-18-6539,9/29/2023,2214
064-18-6578,9/29/2023,3498
064-18-7128,9/29/2023,3352
064-18-8362,9/29/2023,1308
064-18-9089,9/29/2023,484
064-18-9182,9/29/2023,2416
064-18-9667,9/29/2023,992
064-18-9724,9/29/2023,200
064-18-9938,9/29/2023,1976
064-11-1026,9/29/2023,2000
064-11-0005,9/29/2023,1500
064-11-5125,9/29/2023,3000
064-11-0594,9/29/2023,9000
064-11-0082,9/29/2023,2000
064-13-0345,8/16/2023,964
064-13-0358,8/16/2023,2892
064-13-0359,8/16/2023,1704
064-13-0370,8/16/2023,1700
064-13-0371,8/16/2023,168
064-13-0402,8/16/2023,196
064-13-0403,8/16/2023,132
064-13-0425,8/16/2023,276
064-13-0426,8/16/2023,276
064-13-0438,8/16/2023,2004
064-13-0439,8/16/2023,1480
064-13-4782,8/16/2023,148
064-13-0563,8/16/2023,1700
064-13-0345,10/13/2023,500
064-13-0358,10/13/2023,800
064-13-0359,10/13/2023,800
064-13-0371,10/13/2023,400
064-13-0402,10/13/2023,300
064-13-0403,10/13/2023,248
064-13-0425,10/13/2023,300
064-13-0426,10/13/2023,200
064-13-0438,10/13/2023,800
064-13-0439,10/13/2023,500
064-13-4782,10/13/2023,500
064-13-0563,10/13/2023,600
064-15-5738,8/4/2023,5348
064-15-5777,8/4/2023,15420
064-15-6305,8/4/2023,7472
064-15-7068,8/4/2023,10316
064-15-7174,8/4/2023,15800
064-09-1062,8/16/2023,1480
064-09-2179,8/16/2023,1224
064-09-0250,8/16/2023,1400
064-09-3154,8/16/2023,480
064-09-3413,8/16/2023,1260
064-09-3490,8/16/2023,768
064-09-3600,8/16/2023,1048
064-09-3654,8/16/2023,2356
064-09-3787,8/16/2023,4180
064-09-3958,8/16/2023,1048
064-09-0041,8/16/2023,1824
064-09-0042,8/16/2023,1400
064-09-4261,8/16/2023,1936
064-09-0043,8/16/2023,1584
064-09-4332,8/16/2023,1084
064-09-4450,8/16/2023,1824
064-09-4642,8/16/2023,1224
064-09-4784,8/16/2023,1184
064-09-5086,8/16/2023,1084
064-09-5125,8/16/2023,2204
064-09-5282,8/16/2023,1520
064-09-5287,8/16/2023,2772
064-09-5457,8/16/2023,1048
064-09-5503,8/16/2023,768
064-09-5559,8/16/2023,1400
064-09-0059,8/16/2023,1856
064-09-0006,8/16/2023,1664
064-09-6094,8/16/2023,2204
064-09-0631,8/16/2023,1848
064-09-6380,8/16/2023,1328
064-09-6933,8/16/2023,768
064-09-7633,8/16/2023,1860
064-09-7924,8/16/2023,3268
064-09-8136,8/16/2023,2204
064-09-8249,8/16/2023,1784
064-09-8353,8/16/2023,1224
064-09-8707,8/16/2023,1328
064-09-9076,8/16/2023,3420
064-09-9115,8/16/2023,3836
064-09-9129,8/16/2023,1740
064-09-9139,8/16/2023,1436
064-09-9411,8/16/2023,944
064-09-0942,8/16/2023,1400
064-09-2641,7/10/2023,1964
064-09-0054,7/10/2023,1500
064-09-6826,7/10/2023,2540
064-09-0733,7/10/2023,1384
064-13-0327,7/10/2023,2000
064-13-0328,7/10/2023,116
064-13-0351,7/10/2023,168
064-13-0353,7/10/2023,3052
064-13-0397,7/10/2023,316
064-13-0416,7/10/2023,8816
064-13-0417,7/10/2023,1040
064-13-0432,7/10/2023,1324
064-13-0433,7/10/2023,3000
064-13-6802,7/10/2023,1360
064-18-1490,9/29/2023,1770
064-18-0015,9/24/2023,16920
064-18-0197,9/24/2023,15840
064-18-0211,9/24/2023,11880
064-18-0214,9/24/2023,9000
064-18-0218,9/24/2023,9720
064-18-0091,9/24/2023,9900
064-01-1346,7/7/2023,1072
064-01-1347,7/7/2023,1000
064-01-1348,7/7/2023,788
064-01-1349,7/7/2023,1000
064-01-1351,7/7/2023,848
064-01-1360,7/7/2023,1100
064-01-1361,7/7/2023,624
064-01-1363,7/7/2023,972
064-01-1375,7/7/2023,1580
064-01-1384,7/7/2023,1200
064-01-1385,7/7/2023,696
064-01-1386,7/7/2023,684
064-01-1388,7/7/2023,800
064-01-1389,7/7/2023,628
064-01-1399,7/7/2023,900
064-01-1401,7/7/2023,848
064-01-1409,7/7/2023,588
064-01-1411,7/7/2023,352
064-01-1423,7/7/2023,540
064-01-1424,7/7/2023,1500
064-01-1430,7/7/2023,2020
064-01-1431,7/7/2023,1244
064-01-1437,7/7/2023,908
064-09-2641,9/8/2023,2616
064-09-0054,9/8/2023,2000
064-09-6826,9/8/2023,3388
064-09-0733,9/8/2023,1848
064-18-1490,10/13/2023,1770
064-09-2641,7/7/2023,1308
064-09-6826,7/7/2023,1692
064-15-5738,10/13/2023,4000
064-15-5777,10/13/2023,2000
064-15-6305,10/13/2023,3500
064-15-7068,10/13/2023,3000
064-15-7174,10/13/2023,4000
064-09-2641,8/4/2023,1000
064-09-0054,8/4/2023,900
064-09-6826,8/4/2023,1200
064-09-0733,8/4/2023,300
064-18-1490,7/14/2023,7350
064-01-1346,7/9/2023,2464
064-01-1347,7/9/2023,3568
064-01-1348,7/9/2023,1920
064-01-1349,7/9/2023,2920
064-01-1351,7/9/2023,1308
064-01-1360,7/9/2023,3340
064-01-1361,7/9/2023,4620
064-01-1362,7/9/2023,2480
064-01-1363,7/9/2023,3612
064-01-1365,7/9/2023,2280
064-01-1375,7/9/2023,1768
064-01-1384,7/9/2023,1880
064-01-1385,7/9/2023,3196
064-01-1386,7/9/2023,1856
064-01-1388,7/9/2023,2664
064-01-1389,7/9/2023,1612
064-01-1398,7/9/2023,3396
064-01-1399,7/9/2023,5736
064-01-1400,7/9/2023,2968
064-01-1401,7/9/2023,4372
064-01-1403,7/9/2023,2692
064-01-1408,7/9/2023,2788
064-01-1409,7/9/2023,4940
064-01-1410,7/9/2023,2572
064-01-1411,7/9/2023,3348
064-01-1413,7/9/2023,2192
064-01-1423,7/9/2023,2980
064-01-1424,7/9/2023,1736
064-01-1430,7/9/2023,2560
064-01-1431,7/9/2023,1460
064-01-1437,7/9/2023,1792
064-01-1443,7/9/2023,2892
064-01-1444,7/9/2023,4268
064-01-1445,7/9/2023,2624
064-01-1446,7/9/2023,2468
064-01-1448,7/9/2023,2240
064-18-0170,12/1/2023,18360
064-18-9904,12/1/2023,18700
064-01-0012,9/29/2023,6840
064-01-0013,9/29/2023,6300
064-01-1326,9/29/2023,4948
064-01-0016,9/29/2023,6028
064-01-0017,9/29/2023,5220
064-01-0018,9/29/2023,5760
064-01-0019,9/29/2023,7648
064-01-2156,9/29/2023,6568
064-01-2694,9/29/2023,5220
064-01-0003,9/29/2023,5488
064-01-3170,9/29/2023,7380
064-01-3372,9/29/2023,6568
064-01-3476,9/29/2023,6300
064-01-0035,9/29/2023,5488
064-01-3690,9/29/2023,5488
064-01-4033,9/29/2023,4948
064-01-4219,9/29/2023,6300
064-01-0005,9/29/2023,7380
064-01-5407,9/29/2023,6300
064-01-5543,9/29/2023,5488
064-01-6765,9/29/2023,7648
064-01-6878,9/29/2023,5220
064-01-0700,9/29/2023,7648
064-01-7347,9/29/2023,7380
064-01-7573,9/29/2023,6568
064-01-7675,9/29/2023,5488
064-01-8373,9/29/2023,6028
064-01-9024,9/29/2023,6568
064-01-0092,9/29/2023,4948
064-01-9479,9/29/2023,4948
064-01-9521,9/29/2023,5488
064-18-2305,7/9/2023,4506
064-18-2320,7/9/2023,2700
064-18-2358,7/9/2023,6066
064-18-0267,7/9/2023,4884
064-18-2852,7/9/2023,3228
064-18-2853,7/9/2023,2532
064-18-2854,7/9/2023,5274
064-18-3436,7/9/2023,2480
064-18-3665,7/9/2023,3774
064-18-3712,7/9/2023,5718
064-18-3723,7/9/2023,5022
064-18-3729,7/9/2023,7134
064-18-0493,7/9/2023,3736
064-18-0494,7/9/2023,2988
064-18-5658,7/9/2023,2188
064-18-5659,7/9/2023,2660
064-18-5660,7/9/2023,2092
064-18-6538,7/9/2023,3798
064-18-6539,7/9/2023,4890
064-18-6577,7/9/2023,4338
064-18-6578,7/9/2023,7608
064-18-7128,7/9/2023,5236
064-18-8362,7/9/2023,4248
064-18-9089,7/9/2023,4276
064-18-9182,7/9/2023,8260
064-18-9724,7/9/2023,4260
064-18-9938,7/9/2023,2764
064-18-2305,8/4/2023,312
064-18-2320,8/4/2023,1146
064-18-2358,8/4/2023,1632
064-18-0267,8/4/2023,402
064-18-2852,8/4/2023,744
064-18-2853,8/4/2023,354
064-18-2854,8/4/2023,2046
064-18-3665,8/4/2023,552
064-18-3712,8/4/2023,2082
064-18-3723,8/4/2023,426
064-18-3729,8/4/2023,150
064-18-0493,8/4/2023,832
064-18-0494,8/4/2023,1372
064-18-5659,8/4/2023,1312
064-18-5660,8/4/2023,1312
064-18-6538,8/4/2023,1368
064-18-6539,8/4/2023,2046
064-18-6577,8/4/2023,1116
064-18-6578,8/4/2023,1518
064-18-8362,8/4/2023,628
064-18-9089,8/4/2023,752
064-18-9182,8/4/2023,4000
064-18-9724,8/4/2023,1036
064-18-9938,8/4/2023,1368
064-18-3723,8/22/2023,1602
064-18-3729,8/22/2023,1998
064-13-0010,9/8/2023,2000
064-13-0327,9/8/2023,1300
064-13-0416,9/8/2023,2000
064-13-0432,9/8/2023,1800
064-13-0433,9/8/2023,2000
064-13-0007,9/8/2023,1000
064-13-0358,7/28/2023,1036
064-13-0359,7/28/2023,560
064-13-0438,7/28/2023,312
064-13-0563,7/28/2023,316
064-09-3787,8/18/2023,3000
064-09-5287,8/18/2023,4000
064-09-7924,8/18/2023,3000
064-09-8136,8/18/2023,4000
064-09-9076,8/18/2023,2600
064-09-9115,8/18/2023,2800
064-13-0002,7/10/2023,728
064-13-0228,7/10/2023,632
064-13-0327,7/10/2023,2704
064-13-0328,7/10/2023,3240
064-13-0332,7/10/2023,1740
064-13-0338,7/10/2023,1456
064-13-0340,7/10/2023,1780
064-13-0351,7/10/2023,1824
064-13-0353,7/10/2023,5452
064-13-0365,7/10/2023,720
064-13-3653,7/10/2023,844
064-13-3896,7/10/2023,1400
064-13-0397,7/10/2023,1324
064-13-0416,7/10/2023,4396
064-13-0417,7/10/2023,1564
064-13-0432,7/10/2023,1816
064-13-0433,7/10/2023,5292
064-13-5550,7/10/2023,1340
064-13-5554,7/10/2023,964
064-13-6802,7/10/2023,2128
064-13-8580,7/10/2023,1148
064-15-5738,7/28/2023,2480
064-15-5777,7/28/2023,1196
064-15-6305,7/28/2023,2140
064-15-7068,7/28/2023,5436
064-15-7174,7/28/2023,5908
064-18-0015,10/8/2023,5988
064-18-0197,10/8/2023,5216
064-18-0211,10/8/2023,5444
064-18-0214,10/8/2023,3380
064-18-0218,10/8/2023,3896
064-18-0091,10/8/2023,2932
064-11-0151,7/7/2023,740
064-11-2793,7/7/2023,2260
064-11-4530,7/7/2023,436
064-11-0005,7/7/2023,940
064-11-0082,7/7/2023,1032
064-13-0370,9/29/2023,400
064-13-0371,9/29/2023,448
064-13-0403,9/29/2023,300
064-13-0425,9/29/2023,248
064-13-0426,9/29/2023,300
064-13-0438,9/29/2023,1200
064-13-0439,9/29/2023,900
064-13-4782,9/29/2023,1000
064-13-0563,9/29/2023,900
064-11-1026,8/16/2023,5980
064-11-0151,8/16/2023,6388
064-11-2793,8/16/2023,10768
064-11-2824,8/16/2023,4624
064-11-4530,8/16/2023,4840
064-11-0005,8/16/2023,4532
064-11-5125,8/16/2023,6000
064-11-0594,8/16/2023,6396
064-11-0082,8/16/2023,6508
064-11-0996,8/16/2023,7644
064-15-5777,9/8/2023,3500
064-15-6305,9/8/2023,3200
064-15-7068,9/8/2023,5000
064-18-2305,9/8/2023,408
064-18-2320,9/8/2023,1824
064-18-2852,9/8/2023,1788
064-18-2853,9/8/2023,1752
064-18-3316,9/8/2023,500
064-18-3712,9/8/2023,2598
064-18-3723,9/8/2023,618
064-18-3729,9/8/2023,36
064-18-0493,9/8/2023,1176
064-18-0494,9/8/2023,792
064-18-5659,9/8/2023,2548
064-18-5660,9/8/2023,2208
064-18-6539,9/8/2023,2232
064-18-7128,9/8/2023,3248
064-18-8362,9/8/2023,852
064-18-9089,9/8/2023,1824
064-18-9182,9/8/2023,4228
064-18-9938,9/8/2023,2084
064-13-0010,10/13/2023,5000
064-13-0228,10/13/2023,500
064-13-0328,10/13/2023,1000
064-13-0332,10/13/2023,1300
064-13-0338,10/13/2023,1200
064-13-0340,10/13/2023,900
064-13-0351,10/13/2023,1200
064-13-0353,10/13/2023,1200
064-13-3653,10/13/2023,980
064-13-0397,10/13/2023,800
064-13-0416,10/13/2023,3800
064-13-0433,10/13/2023,2000
064-13-5550,10/13/2023,1000
064-13-6802,10/13/2023,1000
064-13-0007,10/13/2023,600
064-13-8580,10/13/2023,800
064-18-0015,10/22/2023,5988
064-18-0197,10/22/2023,5216
064-18-0211,10/22/2023,5444
064-18-0214,10/22/2023,3380
064-18-0218,10/22/2023,3896
064-18-0091,10/22/2023,2932
064-13-0010,7/28/2023,3140
064-13-0010,9/29/2023,7800
064-13-0002,9/29/2023,500
064-13-0228,9/29/2023,600
064-13-0327,9/29/2023,1000
064-13-0328,9/29/2023,1200
064-13-0338,9/29/2023,1300
064-13-0340,9/29/2023,1000
064-13-0351,9/29/2023,2000
064-13-0353,9/29/2023,2500
064-13-0365,9/29/2023,1200
064-13-3653,9/29/2023,1200
064-13-0397,9/29/2023,1800
064-13-0416,9/29/2023,4800
064-13-0417,9/29/2023,1900
064-13-0432,9/29/2023,1000
064-13-0433,9/29/2023,8000
064-13-6802,9/29/2023,2300
064-13-0007,9/29/2023,1000
064-13-0007,7/28/2023,2000
064-13-0010,8/16/2023,2012
064-13-0002,8/16/2023,1120
064-13-0228,8/16/2023,1484
064-13-0327,8/16/2023,2472
064-13-0328,8/16/2023,3704
064-13-0332,8/16/2023,2352
064-13-0338,8/16/2023,1916
064-13-0340,8/16/2023,2424
064-13-0351,8/16/2023,1296
064-13-0353,8/16/2023,4632
064-13-0365,8/16/2023,2712
064-13-3653,8/16/2023,1200
064-13-3896,8/16/2023,1212
064-13-0397,8/16/2023,1536
064-13-0416,8/16/2023,5812
064-13-0417,8/16/2023,1612
064-13-0432,8/16/2023,1692
064-13-0433,8/16/2023,5704
064-13-5550,8/16/2023,1132
064-13-5554,8/16/2023,1000
064-13-6802,8/16/2023,3184
064-13-0007,8/16/2023,3352
064-13-8580,8/16/2023,1200
064-13-8947,8/16/2023,1204
064-01-1346,8/4/2023,1400
064-01-1347,8/4/2023,1800
064-01-1348,8/4/2023,1200
064-01-1349,8/4/2023,2624
064-01-1360,8/4/2023,1000
064-01-1361,8/4/2023,2200
064-01-1362,8/4/2023,1400
064-01-1363,8/4/2023,2800
064-01-1365,8/4/2023,800
064-01-1384,8/4/2023,1000
064-01-1385,8/4/2023,2200
064-01-1388,8/4/2023,1200
064-01-1398,8/4/2023,2400
064-01-1399,8/4/2023,2000
064-01-1400,8/4/2023,1800
064-01-1401,8/4/2023,1000
064-01-1408,8/4/2023,2260
064-01-1409,8/4/2023,2300
064-01-1410,8/4/2023,1800
064-01-1413,8/4/2023,500
064-01-1443,8/4/2023,1300
064-01-1444,8/4/2023,2000
064-09-1062,8/4/2023,740
064-09-2179,8/4/2023,612
064-09-0250,8/4/2023,700
064-09-3413,8/4/2023,628
064-09-3600,8/4/2023,524
064-09-3654,8/4/2023,1000
064-09-3787,8/4/2023,1500
064-09-3958,8/4/2023,524
064-09-0041,8/4/2023,912
064-09-0042,8/4/2023,700
064-09-4261,8/4/2023,700
064-09-0043,8/4/2023,792
064-09-4332,8/4/2023,544
064-09-4450,8/4/2023,700
064-09-4642,8/4/2023,612
064-09-4784,8/4/2023,592
064-09-5086,8/4/2023,544
064-09-5125,8/4/2023,1100
064-09-5282,8/4/2023,760
064-09-5287,8/4/2023,1200
064-09-5457,8/4/2023,524
064-09-5503,8/4/2023,384
064-09-5559,8/4/2023,700
064-09-0059,8/4/2023,928
064-09-0006,8/4/2023,832
064-09-6094,8/4/2023,1100
064-09-0631,8/4/2023,700
064-09-6380,8/4/2023,664
064-09-6933,8/4/2023,384
064-09-7633,8/4/2023,932
064-09-7924,8/4/2023,1200
064-09-8136,8/4/2023,1000
064-09-8249,8/4/2023,892
064-09-8353,8/4/2023,612
064-09-8707,8/4/2023,664
064-09-9076,8/4/2023,1300
064-09-9115,8/4/2023,1400
064-09-9129,8/4/2023,868
064-09-9139,8/4/2023,716
064-09-9411,8/4/2023,472
064-09-0942,8/4/2023,700
064-13-0327,8/4/2023,2088
064-13-0328,8/4/2023,2356
064-13-0332,8/4/2023,724
064-13-0351,8/4/2023,980
064-13-0353,8/4/2023,2944
064-13-0397,8/4/2023,988
064-13-0416,8/4/2023,3924
064-13-0417,8/4/2023,1084
064-13-0432,8/4/2023,1328
064-13-0433,8/4/2023,1000
064-13-6802,8/4/2023,3052
064-18-0170,12/15/2023,4860
064-18-9904,12/15/2023,5100
064-13-0007,7/14/2023,2164
064-18-0309,12/8/2023,8076
064-18-4752,12/8/2023,8076
064-09-2641,7/28/2023,1000
064-09-0054,7/28/2023,900
064-09-6826,7/28/2023,1200
064-09-0733,7/28/2023,300
064-11-1026,7/9/2023,2548
064-11-0151,7/9/2023,2840
064-11-2793,7/9/2023,5380
064-11-2824,7/9/2023,784
064-11-4530,7/9/2023,2096
064-11-0005,7/9/2023,2228
064-11-5125,7/9/2023,2028
064-11-0594,7/9/2023,2932
064-11-0082,7/9/2023,2896
064-11-0996,7/9/2023,3080
064-18-3496,8/16/2023,20812
064-18-4295,8/16/2023,14820
064-09-1062,10/13/2023,1480
064-09-2179,10/13/2023,920
064-09-0250,10/13/2023,1400
064-09-3154,10/13/2023,480
064-09-3413,10/13/2023,944
064-09-3490,10/13/2023,576
064-09-3600,10/13/2023,524
064-09-3654,10/13/2023,2356
064-09-3787,10/13/2023,4180
064-09-3958,10/13/2023,524
064-09-0041,10/13/2023,1824
064-09-0042,10/13/2023,1400
064-09-4261,10/13/2023,1936
064-09-0043,10/13/2023,1584
064-09-4332,10/13/2023,812
064-09-4450,10/13/2023,1824
064-09-4642,10/13/2023,920
064-09-4784,10/13/2023,888
064-09-5086,10/13/2023,544
064-09-5125,10/13/2023,2204
064-09-5282,10/13/2023,1520
064-09-5287,10/13/2023,2772
064-09-5457,10/13/2023,524
064-09-5503,10/13/2023,576
064-09-5559,10/13/2023,1400
064-09-0059,10/13/2023,1856
064-09-0006,10/13/2023,1664
064-09-6094,10/13/2023,2204
064-09-0631,10/13/2023,1848
064-09-6380,10/13/2023,996
064-09-6933,10/13/2023,576
064-09-7633,10/13/2023,1860
064-09-7924,10/13/2023,3268
064-09-8136,10/13/2023,2204
064-09-8249,10/13/2023,1784
064-09-8353,10/13/2023,920
064-09-8707,10/13/2023,1328
064-09-9076,10/13/2023,3420
